;CNTR_CODE;Fr_Anthropogenic;Fr_Lightning
0;HR;0.921703662421883;0.07829633757811705
1;AT;0.9968555715924671;0.0031444284075329287
2;DE;0.952570916368078;0.047429083631922
3;BE;0.9992049677944159;0.0007950322055840786
4;BG;0.9972060640264391;0.0027939359735609237
5;AL;0.9904977869656149;0.009502213034385143
6;CH;0.9092399326163114;0.09076006738368858
7;ES;0.9327101584952916;0.0672898415047084
8;CZ;0.9944082094362322;0.005591790563767796
9;FI;0.6687728043380665;0.3312271956619335
10;HU;0.9280855179856247;0.07191448201437534
11;CY;0.9994214005857442;0.0005785994142557538
12;EL;0.8846747299510233;0.11532527004897675
13;DK;0.9986646888003061;0.0013353111996938782
14;FR;0.8672915157797698;0.13270848422023018
15;EE;0.9949928750699973;0.00500712493000266
16;IS;0.7088342652270686;0.2911657347729314
17;NL;0.9999337509842554;6.624901574459052e-05
18;NO;0.8675845449543229;0.1324154550456771
19;LV;0.9409646038825423;0.05903539611745767
20;LT;0.9517370028390985;0.048262997160901544
21;MK;0.9929548640230439;0.007045135976956107
22;MT;0.007045135976956107;0.9929548640230439
23;IT;0.9841940004784648;0.015805999521535163
24;IE;0.9931526724362904;0.006847327563709649
25;LU;0.9983288018869012;0.001671198113098793
26;ME;0.9915562448449776;0.008443755155022381
27;RS;0.9968561861181565;0.0031438138818434824
28;PL;0.9966873317522434;0.003312668247756556
29;PT;0.9333516821706263;0.06664831782937375
30;SE;0.5423176753807221;0.45768232461927794
31;RO;0.9983644153337824;0.0016355846662176043
32;LI;2.121995787e-314;1.0
33;UK;0.9141475474502311;0.08585245254976892
34;TR;0.9750024075104535;0.024997592489546472
35;SI;0.6772202013480626;0.3227797986519374
36;SK;0.9962965185722231;0.003703481427776878
